y	yend	x	xend	showSelected1	PANEL
1	1	0	0.212331690929906	control.vs.carbon.additions C	1
1	1	0.0713433163683088	0.236554750921105	control.vs.carbon.additions CN	1
1	1	0.362667162386993	0.658038145155171	control.vs.carbon.additions control	1
1	1	0.532880303043212	0.600745470832214	controls.between.experiments dim	1
1	1	0.112985185765787	0.387784456246457	controls.between.experiments qme	1
1	1	0	0.863040161278746	controls.between.sites GL	1
1	1	0	0.683260893064207	controls.between.sites MC	1
1	1	0	0.696981407274949	controls.between.sites PJ	1
1	1	0.0688822048200466	0.586238929514375	controls.between.sites PP	1
1	1	0.67486108162694	0.801862133880547	controls.between.sites glacier_forefield	1
1	1	0.649384284967265	0.774206654385319	controls.between.sites litchfield_island	1
1	1	0	0.368560741271732	dim.C.between.sites GL	1
1	1	0.188698140957403	0.489631543344029	dim.C.between.sites MC	1
1	1	0	0.323868920966015	dim.C.between.sites PJ	1
1	1	0.134717027732824	0.491499858382652	dim.C.between.sites PP	1
1	1	0	0.158880787507631	dim.CN.combine.sites GL	1
1	1	0.027974676315886	0.313654013034755	dim.CN.combine.sites MC	1
1	1	0	0.205987901023709	dim.CN.combine.sites PJ	1
1	1	0	0.178387502860665	dim.CN.combine.sites PP	1
1	1	0	0.255667550963821	dim.compare.sites GL	1
1	1	0.04236950259543	0.241219795684925	dim.compare.sites MC	1
1	1	0.002848926014055	0.258183358652512	dim.compare.sites PJ	1
1	1	0.045587358120058	0.365847996686692	dim.compare.sites PP	1
1	1	0	0.16417043784234	dim.compare.treatments C	1
1	1	0.0709929737464035	0.194482177352879	dim.compare.treatments CN	1
1	1	0.384334184106188	0.731291105657502	dim.compare.treatments control	1
3	3	0.0282172586173578	0.231368712904982	control.vs.carbon.additions C	1
3	3	0	0.144819016055455	control.vs.carbon.additions CN	1
3	3	0	0.28737779513038	control.vs.carbon.additions control	1
3	3	0	0.12974732447202	controls.between.experiments dim	1
3	3	0	0.244646074598571	controls.between.experiments qme	1
3	3	0.365713121785458	0.922598574638662	controls.between.sites GL	1
3	3	0.0329415409385585	0.734404183393637	controls.between.sites MC	1
3	3	0.102555584914633	0.793688602779735	controls.between.sites PJ	1
3	3	0	0.540969665391834	controls.between.sites PP	1
3	3	0	0.112137610857333	controls.between.sites glacier_forefield	1
3	3	0	0.168528007800285	controls.between.sites litchfield_island	1
3	3	0.153451891497819	0.453234818976929	dim.C.between.sites GL	1
3	3	0	0.369741258445913	dim.C.between.sites MC	1
3	3	0.0184810129329969	0.405509758671998	dim.C.between.sites PJ	1
3	3	0	0.301141635155725	dim.C.between.sites PP	1
3	3	0.110844766336193	0.238592558229353	dim.CN.combine.sites GL	1
3	3	0	0.341103438261081	dim.CN.combine.sites MC	1
3	3	0.081966731094898	0.277749684617493	dim.CN.combine.sites PJ	1
3	3	0.0797790130707311	0.291120712171864	dim.CN.combine.sites PP	1
3	3	0.0276199751680879	0.271432269241887	dim.compare.sites GL	1
3	3	0	0.187211141348886	dim.compare.sites MC	1
3	3	0	0.268730615355955	dim.compare.sites PJ	1
3	3	0	0.290614088073844	dim.compare.sites PP	1
3	3	0.011051396894957	0.207492686521139	dim.compare.treatments C	1
3	3	0	0.125937933388931	dim.compare.treatments CN	1
3	3	0	0.541501611719097	dim.compare.treatments control	1
5	5	0.118199852106348	0.352220211657728	control.vs.carbon.additions C	1
5	5	0.305081103037912	0.481265792889276	control.vs.carbon.additions CN	1
5	5	0.763987788501153	1	control.vs.carbon.additions control	1
5	5	0.935449269055752	1	controls.between.experiments dim	1
